agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c45,10,0.9749638438224792,0.00790749381949693,0.0025005691053314673,0.9565773606300354,0.9832874536514282,0.9775551855564117,0.9723491370677947,0.9785531312227249,DQNAgent,,0.99,11605.0,0.141065,0.371036,,,0.000511474,9.01467,,,64.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,512,1,7,0,1000000,7,True,16
DQNAgent,sweep_c25,10,0.9718074262142181,0.004059452847749065,0.0012837117052943777,0.9641542434692384,0.9753971099853516,0.9740806221961975,0.9689701050519943,0.974657267332077,DQNAgent,,0.99,182955.0,0.0914715,0.664606,,,6.13188e-06,13.0908,,,128.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,16,1,0,0,1000000,3,True,16
DQNAgent,sweep_c7,10,0.9691877722740173,0.013568173782611367,0.004290633284203422,0.933500587940216,0.9819490313529968,0.9709913730621338,0.9680727571249007,0.9768105745315552,DQNAgent,,0.99,37220.0,0.0242178,0.98691,,,1.56545e-06,10.213,,,128.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,64,1,2,0,1000000,3,True,4096
DQNAgent,sweep_c23,10,0.9660193860530853,0.016898776190013193,0.005343862242986404,0.9293650388717652,0.9834043979644777,0.9711411893367767,0.9595980644226074,0.9775461107492448,DQNAgent,,0.99,396708.0,0.0104981,0.302375,,,0.000291375,14.7056,,,64.0,2048,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,128,1,5,0,1000000,8,True,32
DQNAgent,sweep_c21,10,0.9577974021434784,0.023020784154067088,0.007279811144996457,0.9064328670501708,0.9757909178733826,0.9699445962905884,0.9519082456827164,0.9725022315979005,DQNAgent,,0.99,397091.0,0.0674937,0.641086,,,0.0013011,13.2697,,,64.0,131072,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,512,1,5,0,1000000,20,True,2
DQNAgent,sweep_c96,10,0.9154662072658539,0.029008606746035902,0.009173326906559908,0.8394283056259155,0.9435491561889648,0.9272942841053009,0.909968227148056,0.9284563660621643,DQNAgent,,0.99,205629.0,0.0401832,0.945055,,,1.76836e-06,0.146341,,,256.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,64,1,1,0,1000000,6,True,16
DQNAgent,sweep_c87,10,0.8998815596103669,0.04835998141413457,0.015292768887207576,0.7696276903152466,0.944499969482422,0.9077238738536836,0.9021548181772232,0.9163951426744462,DQNAgent,,0.99,306167.0,0.0512173,0.561238,,,8.55336e-05,2.14559,,,256.0,1024,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,512,1,3,0,1000000,24,True,8192
DQNAgent,sweep_c10,10,0.7741137225180864,0.29974091700217875,0.09478640056743741,0.0460982508957386,0.9823086261749268,0.8821164965629578,0.776490330696106,0.9642995446920395,DQNAgent,,0.99,116584.0,0.0148943,0.812042,,,2.72058e-05,11.9393,,,2048.0,32768,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,1024,1,3,0,1000000,4,True,8192
DQNAgent,sweep_c61,10,0.7235632121562958,0.10718271781581029,0.03389415141050682,0.5396769046783447,0.9104788303375244,0.6959845721721649,0.6685516536235809,0.795802429318428,DQNAgent,,0.99,107765.0,0.0517458,0.746112,,,0.000536781,0.127463,,,1024.0,131072,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,2048,1,7,0,1000000,1,True,32
DQNAgent,sweep_c66,10,0.7023655243217946,0.32534856554864805,0.10288425006023173,0.080789603292942,0.929713785648346,0.8160511553287506,0.7871042639017105,0.8978603333234788,DQNAgent,,0.99,279593.0,0.0844037,0.701787,,,0.00117119,6.22099,,,128.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,256,1,5,0,1000000,19,True,64
DQNAgent,sweep_c33,10,0.6674128204584122,0.10538719481517665,0.03332635718318459,0.489515870809555,0.7924693822860718,0.6795649528503418,0.648770660161972,0.727781742811203,DQNAgent,,0.99,307828.0,0.29909,0.454097,,,3.11797e-06,6.52519,,,256.0,32768,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,32,1,4,0,1000000,5,True,512
DQNAgent,sweep_c31,10,0.6610709751024842,0.3621481912216865,0.11452131347707256,0.0090637449175119,0.9412623047828674,0.8767071962356567,0.3509172238409519,0.9214421659708023,DQNAgent,,0.99,176679.0,0.0113729,0.648414,,,4.83956e-06,13.8034,,,256.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,32,1,4,0,1000000,5,True,16
